Metal,Substrate,Me_MagpieData mean Column,Me_MagpieData mean CovalentRadius,Me_MagpieData mean NdValence,Me_MagpieData mean GSbandgap,Me_MagpieData mean GSmagmom,Me_MagpieData mean SpaceGroupNumber,Ce_MagpieData mean MeltingT,Ce_MagpieData mean NpUnfilled,Testing temperature (K),Wetting angle
Sn,Al2O3,14,139,10,0,0,141,406.268,3.2,1373,123
Sn0.96Al0.04,Al2O3,13.96,138.28,9.6,0,0,144.36,406.268,3.2,1373,114
Sn0.875Al0.125,Al2O3,13.875,136.75,8.75,0,0,151.5,406.268,3.2,1373,66
Sn0.86Al0.14,Al2O3,13.86,136.48,8.6,0,0,152.76,406.268,3.2,1373,73
Sn0.4Al0.6,Al2O3,13.4,128.2,4,0,0,191.4,406.268,3.2,1373,71
Sn0.1Al0.9,Al2O3,13.1,122.8,1,0,0,216.6,406.268,3.2,1373,79
Al,Al2O3,13,121,0,0,0,225,406.268,3.2,1273,73
Sn,Al2O3,14,139,10,0,0,141,406.268,3.2,1273,123
Sn0.9Al0.1,Al2O3,13.9,137.2,9,0,0,149.4,406.268,3.2,1273,109
Sn0.85Al0.15,Al2O3,13.85,136.3,8.5,0,0,153.6,406.268,3.2,1273,71
Sn0.7Al0.3,Al2O3,13.7,133.6,7,0,0,166.2,406.268,3.2,1273,66
Sn0.4Al0.6,Al2O3,13.4,128.2,4,0,0,191.4,406.268,3.2,1273,67
Sn0.1Al0.9,Al2O3,13.1,122.8,1,0,0,216.6,406.268,3.2,1273,70
Al,Al2O3,13,121,0,0,0,225,406.268,3.2,1373,81
Cu,Al2O3,11,132,10,0,0,225,406.268,3.2,1350,138
Cu0.905Ti0.095,Al2O3,10.335,134.66,9.24,0,2.14E-06,222.055,406.268,3.2,1350,30
Cu0.874Ti0.126,Al2O3,10.118,135.528,8.992,0,2.84E-06,221.094,406.268,3.2,1350,20
Cu0.874Ti0.126,Al2O3,10.118,135.528,8.992,0,2.84E-06,221.094,406.268,3.2,1350,38
Ni0.5Pd0.5,Al2O3,10,131.5,9,0,0.29769735,225,406.268,3.2,1523,113
Ni0.475Pd0.475Ti0.05,Al2O3,9.7,132.925,8.65,0,0.282813609,223.45,406.268,3.2,1523,97
Ni0.425Pd0.425Ti0.15,Al2O3,9.1,135.775,7.95,0,0.253046128,220.35,406.268,3.2,1523,70
Ni0.375Pd0.375Ti0.25,Al2O3,8.5,138.625,7.25,0,0.223278646,217.25,406.268,3.2,1523,50
Al,Al2O3,13,121,0,0,0,225,406.268,3.2,1173,103
Al,Si1O2,13,121,0,0,0,225,598.8666667,2.666666667,973,150
Al,Si1O2,13,121,0,0,0,225,598.8666667,2.666666667,1073,98
Al,Si1O2,13,121,0,0,0,225,598.8666667,2.666666667,1173,68
Al,Ca1O1,13,121,0,0,0,225,584.9,1,1173,100
Ag,Al2O3,11,145,10,0,0,225,406.268,3.2,1373,130
