Metal,Substrate,Me_MagpieData mean CovalentRadius,Me_MagpieData mean Electronegativity,Me_MagpieData mean NdValence,Me_MagpieData mean SpaceGroupNumber,Me_MagpieData mean GSmagmom,Ce_MagpieData mean MeltingT,Ce_MagpieData mean NpUnfilled,Testing temperature (K),Wetting angle
Sn,Al2O3,139,1.96,10,141,0,406.268,3.2,1373,123
Sn0.96Al0.04,Al2O3,138.28,1.946,9.6,144.36,0,406.268,3.2,1373,114
Sn0.875Al0.125,Al2O3,136.75,1.91625,8.75,151.5,0,406.268,3.2,1373,66
Sn0.86Al0.14,Al2O3,136.48,1.911,8.6,152.76,0,406.268,3.2,1373,73
Sn0.4Al0.6,Al2O3,128.2,1.75,4,191.4,0,406.268,3.2,1373,71
Sn0.1Al0.9,Al2O3,122.8,1.645,1,216.6,0,406.268,3.2,1373,79
Al,Al2O3,121,1.61,0,225,0,406.268,3.2,1273,73
Sn,Al2O3,139,1.96,10,141,0,406.268,3.2,1273,123
Sn0.9Al0.1,Al2O3,137.2,1.925,9,149.4,0,406.268,3.2,1273,109
Sn0.85Al0.15,Al2O3,136.3,1.9075,8.5,153.6,0,406.268,3.2,1273,71
Sn0.7Al0.3,Al2O3,133.6,1.855,7,166.2,0,406.268,3.2,1273,66
Sn0.4Al0.6,Al2O3,128.2,1.75,4,191.4,0,406.268,3.2,1273,67
Sn0.1Al0.9,Al2O3,122.8,1.645,1,216.6,0,406.268,3.2,1273,70
Al,Al2O3,121,1.61,0,225,0,406.268,3.2,1373,81
Cu,Al2O3,132,1.9,10,225,0,406.268,3.2,1350,138
Cu0.905Ti0.095,Al2O3,134.66,1.8658,9.24,222.055,2.14E-06,406.268,3.2,1350,30
Cu0.874Ti0.126,Al2O3,135.528,1.85464,8.992,221.094,2.84E-06,406.268,3.2,1350,20
Cu0.874Ti0.126,Al2O3,135.528,1.85464,8.992,221.094,2.84E-06,406.268,3.2,1350,38
Ni0.5Pd0.5,Al2O3,131.5,2.055,9,225,0.29769735,406.268,3.2,1523,113
Ni0.475Pd0.475Ti0.05,Al2O3,132.925,2.02925,8.65,223.45,0.282813609,406.268,3.2,1523,97
Ni0.425Pd0.425Ti0.15,Al2O3,135.775,1.97775,7.95,220.35,0.253046128,406.268,3.2,1523,70
Ni0.375Pd0.375Ti0.25,Al2O3,138.625,1.92625,7.25,217.25,0.223278646,406.268,3.2,1523,50
Al,Al2O3,121,1.61,0,225,0,406.268,3.2,1173,103
Al,Si1O2,121,1.61,0,225,0,598.8666667,2.666666667,973,150
Al,Si1O2,121,1.61,0,225,0,598.8666667,2.666666667,1073,98
Al,Si1O2,121,1.61,0,225,0,598.8666667,2.666666667,1173,68
Al,Ca1O1,121,1.61,0,225,0,584.9,1,1173,100
Ag,Al2O3,145,1.93,10,225,0,406.268,3.2,1373,130
Al,Al2O3,121,1.61,0,225,0,406.268,3.2,1150,82
Au,Al2O3,136,2.54,10,225,0,406.268,3.2,1373,140
Au,Al2O3,136,2.54,10,225,0,406.268,3.2,1365,131
Cu,Al2O3,132,1.9,10,225,0,406.268,3.2,1423,128
Fe,Al2O3,132,1.83,6,229,2.1106628,406.268,3.2,1853,109
Fe,Al2O3,132,1.83,6,229,2.1106628,406.268,3.2,1873,130
Ga,Al2O3,122,1.81,10,64,0,406.268,3.2,1173,118
In,Al2O3,142,1.78,10,139,0,406.268,3.2,429,124
Ni,Al2O3,124,1.91,8,225,0.5953947,406.268,3.2,1773,109
Ni,Al2O3,124,1.91,8,225,0.5953947,406.268,3.2,1873,123
Pb,Al2O3,146,2.33,10,225,0,406.268,3.2,1173,117
Pb,Al2O3,146,2.33,10,225,0,406.268,3.2,1173,132
Sb,Al2O3,139,2.05,10,166,0,406.268,3.2,998,102
Si,Al2O3,111,1.9,0,227,0,406.268,3.2,1723,80
Sn,Al2O3,139,1.96,10,141,0,406.268,3.2,1373,125
Al0.98Ca0.02,Ca1O1,122.1,1.5978,0,225,0,584.9,1,1173,92
Al0.9Mg0.1,Mg1O1,123,1.58,0,221.9,0,488.9,1,1173,102
Cu,Al2O3,132,1.9,10,225,0,406.268,3.2,1523,120
Cu0.975O0.025,Al2O3,130.35,1.9385,9.75,219.675,0,406.268,3.2,1523,30
Cu0.9Ti0.1,Ti1O1,134.8,1.864,9.2,221.9,2.25E-06,997.9,1,1423,30
Cu,Al2O3,132,1.9,10,225,0,406.268,3.2,1373,128
Cu0.975Ti0.025,Al2O3,132.7,1.891,9.8,224.225,5.63E-07,406.268,3.2,1373,75
Cu0.95Ti0.05,Al2O3,133.4,1.882,9.6,223.45,1.13E-06,406.268,3.2,1373,44
Cu0.925Ti0.075,Al2O3,134.1,1.873,9.4,222.675,1.69E-06,406.268,3.2,1373,31
Cu0.9Ti0.1,Al2O3,134.8,1.864,9.2,221.9,2.25E-06,406.268,3.2,1373,27
Cu0.875Ti0.125,Al2O3,135.5,1.855,9,221.125,2.82E-06,406.268,3.2,1373,21
Cu0.75Ti0.25,Al2O3,139,1.81,8,217.25,5.63E-06,406.268,3.2,1273,33
Cu0.75Ti0.25,Al2O3,139,1.81,8,217.25,5.63E-06,406.268,3.2,1373,16
Cu0.75Ti0.25,Al2O3,139,1.81,8,217.25,5.63E-06,406.268,3.2,1473,10
Cu0.75Ti0.25,Al2O3,139,1.81,8,217.25,5.63E-06,406.268,3.2,1573,12
Al,Si1O2,121,1.61,0,225,0,598.8666667,2.666666667,1073,87.5
Al0.92Mg0.08,Si1O2,122.6,1.586,0,222.52,0,598.8666667,2.666666667,1073,76.5
Al0.8Mg0.2,Si1O2,125,1.55,0,218.8,0,598.8666667,2.666666667,1073,50
Al0.57Mg0.43,Si1O2,129.6,1.481,0,211.67,0,598.8666667,2.666666667,1073,18
Al0.31Mg0.69,Si1O2,134.8,1.403,0,203.61,0,598.8666667,2.666666667,1073,6.5
Mg,Si1O2,141,1.31,0,194,0,598.8666667,2.666666667,1073,4
Al0.57Mg0.43,Si1O2,129.6,1.481,0,211.67,0,598.8666667,2.666666667,1023,15
Al0.57Mg0.43,Si1O2,129.6,1.481,0,211.67,0,598.8666667,2.666666667,1123,32
Au,Al2O3,136,2.54,10,225,0,406.268,3.2,1423,137.5
Au0.99Ti0.01,Al2O3,136.24,2.53,9.92,224.69,2.25E-07,406.268,3.2,1423,97.2
Au0.98Ti0.02,Al2O3,136.48,2.52,9.84,224.38,4.51E-07,406.268,3.2,1423,85.8
Au0.97Ti0.03,Al2O3,136.72,2.51,9.76,224.07,6.76E-07,406.268,3.2,1423,78.3
Au0.94Ti0.06,Al2O3,137.44,2.48,9.52,223.14,1.35E-06,406.268,3.2,1423,69.2
Au0.92Ti0.08,Al2O3,137.92,2.46,9.36,222.52,1.80E-06,406.268,3.2,1423,68.1
Ga,Al2O3,122,1.81,10,64,0,406.268,3.2,1323,125.3
Ga0.996Ti0.004,Al2O3,122.152,1.80892,9.968,64.52,9.01E-08,406.268,3.2,1323,74.3
Ga0.992Ti0.008,Al2O3,122.304,1.80784,9.936,65.04,1.80E-07,406.268,3.2,1323,72.7
Ga0.991Ti0.009,Al2O3,122.342,1.80757,9.928,65.17,2.03E-07,406.268,3.2,1323,69.4
Ga0.99Ti0.01,Al2O3,122.38,1.8073,9.92,65.3,2.25E-07,406.268,3.2,1323,65.6
Ga0.978Ti0.022,Al2O3,122.836,1.80406,9.824,66.86,4.96E-07,406.268,3.2,1323,63.1
Ga0.962Ti0.038,Al2O3,123.444,1.79974,9.696,68.94,8.56E-07,406.268,3.2,1323,56.3
Ga0.957Ti0.043,Al2O3,123.634,1.79839,9.656,69.59,9.69E-07,406.268,3.2,1323,64.8
Ga0.938Ti0.062,Al2O3,124.356,1.79326,9.504,72.06,1.40E-06,406.268,3.2,1323,57
Ga0.92Ti0.08,Al2O3,125.04,1.7884,9.36,74.4,1.80E-06,406.268,3.2,1323,64.2
Cu0.99Ti0.01,Mg1O1,132.28,1.8964,9.92,224.69,2.25E-07,488.9,1,1423,95
Cu0.98Ti0.02,Mg1O1,132.56,1.8928,9.84,224.38,4.51E-07,488.9,1,1423,61.9
Cu0.97Ti0.03,Mg1O1,132.84,1.8892,9.76,224.07,6.76E-07,488.9,1,1423,44.4
Cu0.96Ti0.04,Mg1O1,133.12,1.8856,9.68,223.76,9.01E-07,488.9,1,1423,37.5
Cu0.94Ti0.06,Mg1O1,133.68,1.8784,9.52,223.14,1.35E-06,488.9,1,1423,28.1
Cu,Al2O3,132,1.9,10,225,0,406.268,3.2,1423,128.6
Cu0.99Ti0.01,Al2O3,132.28,1.8964,9.92,224.69,2.25E-07,406.268,3.2,1423,88.9
Cu0.98Ti0.02,Al2O3,132.56,1.8928,9.84,224.38,4.51E-07,406.268,3.2,1423,51.4
Cu0.96Ti0.04,Al2O3,133.12,1.8856,9.68,223.76,9.01E-07,406.268,3.2,1423,33.1
Cu0.94Ti0.06,Al2O3,133.68,1.8784,9.52,223.14,1.35E-06,406.268,3.2,1423,23.6
Cu0.92Ti0.08,Al2O3,134.24,1.8712,9.36,222.52,1.80E-06,406.268,3.2,1423,16.9
Sn,Si1O2,139,1.96,10,141,0,598.8666667,2.666666667,1273,128.1
Sn0.99Ti0.01,Si1O2,139.21,1.9558,9.92,141.53,2.25E-07,598.8666667,2.666666667,1273,48.3
Sn0.98Ti0.02,Si1O2,139.42,1.9516,9.84,142.06,4.51E-07,598.8666667,2.666666667,1273,31.4
Sn0.97Ti0.03,Si1O2,139.63,1.9474,9.76,142.59,6.76E-07,598.8666667,2.666666667,1273,19.4
Sn0.96Ti0.04,Si1O2,139.84,1.9432,9.68,143.12,9.01E-07,598.8666667,2.666666667,1273,13.1
Sn0.94Ti0.06,Si1O2,140.26,1.9348,9.52,144.18,1.35E-06,598.8666667,2.666666667,1273,6.4
Sn,Al2O3,139,1.96,10,141,0,406.268,3.2,1173,128.1
Sn0.995Sc0.005,Al2O3,139.155,1.957,9.955,141.265,3.18E-08,406.268,3.2,1173,71
Sn0.994Sc0.006,Al2O3,139.186,1.9564,9.946,141.318,3.81E-08,406.268,3.2,1173,54.9
Sn0.993Sc0.007,Al2O3,139.217,1.9558,9.937,141.371,4.45E-08,406.268,3.2,1173,49.9
Sn0.992Sc0.008,Al2O3,139.248,1.9552,9.928,141.424,5.08E-08,406.268,3.2,1173,46.1
Sn0.982Sc0.018,Al2O3,139.558,1.9492,9.838,141.954,1.14E-07,406.268,3.2,1173,35.8
Sn0.981Sc0.019,Al2O3,139.589,1.9486,9.829,142.007,1.21E-07,406.268,3.2,1173,35.2
In,Al2O3,142,1.78,10,139,0,406.268,3.2,973,129.2
In0.992Sc0.008,Al2O3,142.224,1.77664,9.928,139.44,5.08E-08,406.268,3.2,973,19.4
In0.986Sc0.014,Al2O3,142.392,1.77412,9.874,139.77,8.89E-08,406.268,3.2,973,12.9
In0.984Sc0.016,Al2O3,142.448,1.77328,9.856,139.88,1.02E-07,406.268,3.2,973,11.3
In0.979Sc0.021,Al2O3,142.588,1.77118,9.811,140.155,1.33E-07,406.268,3.2,973,11.4
In0.973Sc0.027,Al2O3,142.756,1.76866,9.757,140.485,1.71E-07,406.268,3.2,973,10.5
In0.952Sc0.048,Al2O3,143.344,1.75984,9.568,141.64,3.05E-07,406.268,3.2,973,11.1
Cu,Al2O3,132,1.9,10,225,0,406.268,3.2,1423,161.4
Ag0.72Cu0.28,Ca1F2,141.36,1.9216,10,225,0,407.3333333,0.666666667,1423,125.5
Bi,U1O2,148,2.02,10,12,0,505.8666667,1.333333333,1073,163.2
Sn,Al2O3,139,1.96,10,141,0,406.268,3.2,973,133
Sn,Al2O3,139,1.96,10,141,0,406.268,3.2,1073,127
Sn,Al2O3,139,1.96,10,141,0,406.268,3.2,1173,127
Sn,Al2O3,139,1.96,10,141,0,406.268,3.2,1273,127
Sn0.98Ti0.02,Al2O3,139.42,1.9516,9.84,142.06,4.51E-07,406.268,3.2,973,92
Sn0.98Ti0.02,Al2O3,139.42,1.9516,9.84,142.06,4.51E-07,406.268,3.2,1073,78
